cfn,cln,cstreet,ccity,cst,czip,cem
Agent,Coulson,"1 Middle Road","South Burlington",VT,13440,AgentCoulson@gmail.com
Bob,Cross,"1 Trump Plaza","New York",NY,05832,BobCross@gmail.com
Marie,Currie,"19083 Park Place",Monopoly,AK,68440,MarieCurrie@gmail.com
Flower,Daisy,"22 Fish Lane",Atlanta,GA,05401,FlowerDaisy@gmail.com
Jack,Daniels,"1964 Disney Road",Orlando,FL,05404,JackDaniels@gmail.com
Brianne,DeVincent,"60 Hall Road","East City",CT,05040,BrianneDeVincent@gmail.com
John,Doe,"47 Known Ave","West Land",AK,44206,JohnDoe@gmail.com
Foster,Dood,"12 Ride Road",Hemmingsburg,UK,05401,FosterDood@gmail.com
Dudlee,Dudders,"1 Candy Lane",Sugar,WY,10118,DudleeDudders@gmail.com
Dumber,Dumb,"38 South Main Street","North Brookfield",MA,04424,DumberDumb@gmail.com
Albert,Einstein,"1 Pond Lane",Charlton,MA,08888,AlbertEinstein@gmail.com
Bethune,Emily,"146 East Northeast Avenue",Topeka,KS,11100,BethuneEmily@gmail.com
Olivares,Eric,"987 Windy Drive","Santa Monica",CA,05494,OlivaresEric@gmail.com
John,Evans,"4592 Drive Way",Orlando,FL,01535,JohnEvans@gmail.com
Amanda,Fintz,"182 Brook Hill Lane","Vernon Hills",IL,04566,AmandaFintz@gmail.com
Garth,Fitzgerald,"103 Southern Street",Winooski,VT,89562,GarthFitzgerald@gmail.com
Arts,Franklin,"102 Cushman Street",Waterbury,CT,98960,ArtsFranklin@gmail.com
Mister,Freeze,"120 Vista Street","San Antonio",TX,78523,MisterFreeze@gmail.com
Sung,Fugong,"186 Devoe Avenue",Yonkers,NY,60061,SungFugong@gmail.com
Guy,Getdown,"303 South Street",Multivast,TX,05404,GuyGetdown@gmail.com
Pass,Go,"312 North James Road",Alabaster,CT,06704,PassGo@gmail.com
Josh,Green,"568 East Varsity Street",Albany,NY,78213,JoshGreen@gmail.com
Rick,Grimes,"10284 West Advantage Avenue",Northport,CA,10705,RickGrimes@gmail.com
James,Hujjiba,"745 Falcon Way Road",Portland,WA,05450,JamesHujjiba@gmail.com
Michael,Jones,"3392 US Route 5",Westminster,VT,02334,MichaelJones@gmail.com
Jessica,Jacket,"22 Cortland Place",Oxford,CT,03101,JessicaJacket@gmail.com
Joan,Jacobs,"1 College Avenue",Factoryville,PA,05403,JoanJacobs@gmail.com
Jimmy,Jam,"1 Tesla Street","East Shoreham",NY,21350,JimmyJam@gmail.com
Jamie,Jamieson,"1531 Western Avenue",Seattle,WA,11550,JamieJamieson@gmail.com
Sally,Jane,"450 College Street",Burlington,VT,45650,SallyJane@gmail.com
Tom,Jane,"14 South Pole Dr","North Pole",ND,05401,TomJane@gmail.com
Derek,Jeter,"89 Dogwood Dr",Townshend,VT,05404,DerekJeter@gmail.com
Ovitt,Joanne,"69 Groovy Way","Funky Town",CA,05040,OvittJoanne@gmail.com
Jason,John,"65 South Union",Burlington,VT,44206,JasonJohn@gmail.com
Jake,Johnson,"25 South Road",Middletown,VA,05401,JakeJohnson@gmail.com
Chris,Jones,"156 Fall Drive",Freewell,WA,10118,ChrisJones@gmail.com
David,Jones,"258 Chanler Street",Arrow,NY,03784,DavidJones@gmail.com
Bruce,Jones,"50 Rose Drive",Hartford,CT,13440,BruceJones@gmail.com
Clark,Kent,"7888 Fort Drive",Worthfield,VA,05832,ClarkKent@gmail.com
Road,Kill,"23 Pants Rd",Boston,MA,68440,RoadKill@gmail.com
Kat,Killinger,"21 Year Old Drive",WhereDoomed,NJ,08888,KatKillinger@gmail.com
Anthony,Larosa,"666 Rocky Rd",DownUnder,HI,11100,AnthonyLarosa@gmail.com
Joey,Laskowski,"1 Presidents Lane","Mount Vernon",VA,56897,JoeyLaskowski@gmail.com
Mac,LeMore,"509 Woods Hollow Road",Westford,VT,05494,MacLeMore@gmail.com
Abe,Lincoln,"1 Wayne Manor Road","Gotham City",NY,10118,AbeLincoln@gmail.com
Jonathan,Lobe,"75 SpiderMan Lane",Anothercity,CT,78459,JonathanLobe@gmail.com
Oscar,Madison,"987 Super Man Street",Augusta,ME,04330,OscarMadison@gmail.com
Mega,Man,"1 Stark Towers","New York City",NY,10118,MegaMan@gmail.com
"John D.",Manchester,"6 Feet Under",Nowhere,NY,11550,"John D.Manchester@gmail.com"
Barbara,Martin,"12 Clean Street",Madison,NY,12050,BarbaraMartin@gmail.com
Dude,McBro,"9 Turcotte Street",Attleboro,MA,02703,DudeMcBro@gmail.com
Fakey,McPhoney,"29 Beagle Club Road",Attleboro,MA,02703,FakeyMcPhoney@gmail.com
Bo,Messier,"13 Greenfield Street",Attleboro,MA,02703,BoMessier@gmail.com
John,Mongler,"2954 Pullen Ave","Fall River",MA,02720,JohnMongler@gmail.com
Mickey,Mouse,"56 Llama Road",Bangor,ME,04401,MickeyMouse@gmail.com
Dag,Nabbit,"46 Somewhere St.",Bobsled,AZ,78956,DagNabbit@gmail.com
Your,Name,"7 Goneware Dr.",Acktid,MA,58792,YourName@gmail.com
Michelle,Obama,"18 Zelwa Place",Yelon,TX,22356,MichelleObama@gmail.com
Brian,Parker,"2 Beltham Boulevard",Taigrex,CA,33659,BrianParker@gmail.com
Peter,Parker,"37 Faylon Dr.",Einsworth,AK,11550,PeterParker@gmail.com
Wallace,Penguin,"38 South Main Street","North Brookfield",MA,01535,WallacePenguin@gmail.com
William,Penn,"1 Pond Lane",Charlton,MA,04566,WilliamPenn@gmail.com
Peter,Peterson,"146 East Northeast Avenue",Topeka,KS,89562,PeterPeterson@gmail.com
Henry,Quinn,"987 Windy Drive","Santa Monica",CA,98960,HenryQuinn@gmail.com
Homer,Reynolds,"4592 Drive Way",Orlando,FL,78523,HomerReynolds@gmail.com
William,Reynolds,"182 Brook Hill Lane","Vernon Hills",IL,60061,WilliamReynolds@gmail.com
Sponge,Robert,"103 Southern Street",Winooski,VT,05404,SpongeRobert@gmail.com
Johnny,Rocket,"102 Cushman Street",Waterbury,CT,06704,JohnnyRocket@gmail.com
Ovitt,Samantha,"120 Vista Street","San Antonio",TX,78213,OvittSamantha@gmail.com
Jane,Same,"186 Devoe Avenue",Yonkers,NY,10705,JaneSame@gmail.com
Will,Samuel,"7 South Evan Road",Dover,NH,03820,WillSamuel@gmail.com
Steve,Scuba,"5 Linda Avenue",Portsmouth,NH,03801,SteveScuba@gmail.com
Jeff,Seid,"246 Soper Point Road","Old Forge",NY,13420,JeffSeid@gmail.com
Aziz,Shavershain,"32 Cranbrooke Drive",Rochester,NY,13620,AzizShavershain@gmail.com
Luke,Skywalker,"1 Risky Business Avenue",Here,VT,05489,LukeSkywalker@gmail.com
Wendy,Smith,"2938 River Rd.",Schennectady,NY,13264,WendySmith@gmail.com
John,Smith,"10 East willard street",Burlington,VT,05401,JohnSmith@gmail.com
Tom,Smythe,"23 South Winner Road","Enosburg Falls",VT,05450,TomSmythe@gmail.com
Lily,Snyder,"16 South Union Road",Halifax,MA,02338,LilySnyder@gmail.com
Tony,Stark,"8 North Genius Road",Plymouth,MA,02334,TonyStark@gmail.com
Juan,Sucro,"88 North Ovitt Road",Lisbon,NH,03101,JuanSucro@gmail.com
Tiala,Sumardar,"123 Fake St.",Faketown,VT,05101,TialaSumardar@gmail.com
Tito,Summers,"25 Winooski Falls Way",Winooski,VT,05404,TitoSummers@gmail.com
Frank,Tank,"326 Quarry Hill Dr.","S. Burlington",VT,05404,FrankTank@gmail.com
Richard,Teabeau,"404 Notfound St.",Nowhere,VT,05404,RichardTeabeau@gmail.com
Nikola,Tesla,"1 mySt.",myTown,VT,05897,NikolaTesla@gmail.com
Margaret,Thatcher,"111 Main Street",Winooski,VT,05404,MargaretThatcher@gmail.com
Sampson,Thomas,"11 South Evan Road",Manchester,NH,03101,SampsonThomas@gmail.com
Smith,Timothy,"26 North Avenue",Rome,NY,13440,SmithTimothy@gmail.com
Kennedy,Tran,"985 East West Street",Providence,RI,02901,KennedyTran@gmail.com
Onetwo,Twoone,"265743214 Los Alomos Road",Bangor,ME,04401,OnetwoTwoone@gmail.com
Billy,Vale,"42 Main Street",Worcester,MA,01601,BillyVale@gmail.com
Nully,Value,"1 Buck Street",Durham,NH,03824,NullyValue@gmail.com
Mark,Wahlberg,"30 Hayward Steet",Burlington,VT,05401,MarkWahlberg@gmail.com
Heirich,Wanger,"5 Cambell Court",Dover,NH,03820,HeirichWanger@gmail.com
Bruce,Wayne,"32 Post Road",Bangor,ME,04401,BruceWayne@gmail.com
Peter,White,"64 Road Rage Lane",Wikita,VT,05859,PeterWhite@gmail.com
Barry,White,"999 NinteyNineNine",Williamstown,VT,05205,BarryWhite@gmail.com
Wonder,Woman,"111 Overview Terrace",Hinesberg,VT,05952,WonderWoman@gmail.com
William,Wonka,"40 Winter Drive",Hineburg,VT,05505,WilliamWonka@gmail.com
